location,continent_o,country_o,iso_alpha,iso_num,lat,lng,timestamp,city,state-province,country,gender,pronouns,pre_oh,session_1,session_2,session_3,post_oh,total_events,submitted_pr,joined_discord,role,urp,sessions,learn_of_sprint,prior_sprints,os_experience,prior_os_pr,git,prog_langs,python_experience,used_pymc,pymc_repo_familiar,why_in_sprint,prep_work,primary_spoken_language,language_translation,count_rows,count,status_n,status_c
Nigeria Nigeria,Africa,Nigeria,NGN,566,9.6000359,7.9999721,7/2/2022 9:46:43,Nigeria,Lagos ,Nigeria,Woman,she/her,0.0,0.0,0.0,0.0,0.0,0,0.0,0,"Analyst, Statistician, Student, Researcher","No, I do not identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday)",Meetup,No,Intermediate,No,"used Git, but am not comfortable, no experience with Git",R,Beginner,I am not at all familiar with PyMC.,I have never looked at the source code.,Improvement ,Yes,English,No,1,1,0,Did Not Attend
Bangalore India,Asia,India,INR,356,12.9767936,77.590082,7/2/2022 10:23:32,Bangalore,Karnataka,India,Man,he/him,1.0,1.0,0.0,0.0,0.0,2,1.0,1,Engineer,"No, I do not identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",Reshama's github,No,Beginner,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I am not at all familiar with PyMC.,I have never looked at the source code.,"Meet new people, have fun and learn new things !!",Not sure,English,No,1,1,1,Attended
Bangalore India,Asia,India,INR,356,12.9767936,77.590082,7/22/2022 7:30:45,Bangalore,Karnataka,India,Man,he/him,0.0,0.0,1.0,0.0,0.0,1,0.0,1,"Data Scientist, Engineer","No, I do not identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday)",Meetup,Yes,Advanced,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I am not at all familiar with PyMC.,"I am familiar, I have looked at the codebase.",To learn more about Pymc,Yes,"Hindi, English",No,1,1,1,Attended
Be'er Sheva Israel,Asia,Israel,ILS,376,31.2457442,34.7925181,7/3/2022 4:24:13,Be'er Sheva,South,Israel,Man,he/him,0.0,0.0,0.0,0.0,0.0,0,0.0,0,Researcher,I identify as an Ally in data science.,"Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday)",PyMC discourse board,No,No experience,No,"comfortable setting up virtual environment, comfortable cloning a repository","Python, MATLAB, C+ / C++",Intermediate,I have used some PyMC for machine learning analysis.,I have never looked at the source code.,Contribute and learn,Yes,"English, Hebrew",No,1,1,0,Did Not Attend
Carrollton USA,North America,United States,USD,840,32.9537349,-96.8902816,7/5/2022 16:41:43,Carrollton,Texas,USA,Prefer not to say,they/them or he/him,0.0,0.0,0.0,0.0,0.0,0,0.0,0,"Researcher, Software developer","Yes, I identify as an under-represented person.","Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)","a friend, colleague, etc.  (word of mouth)",No,Advanced,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, C+ / C++",Advanced,I am highly experienced with PyMC.,"I am familiar, I have submitted a PR in the past","Increase familiarity with PyMC, especially v4, and adding new features",Yes,English,No,1,1,0,Did Not Attend
Tarkwa  Ghana,Africa,Ghana,GHS,936,5.310935,-1.992426,7/8/2022 10:35:12,Tarkwa ,Western Region,Ghana,Man,he/him,0.0,1.0,0.0,0.0,0.0,1,0.0,1,"Analyst, Researcher","Yes, I identify as an under-represented person.","Working session #1:  July 9, 2022 (Saturday), Post-sprint office hours:  August 18, 2022 (Thursday)",Twitter,No,Beginner,No,comfortable cloning a repository,Python,Intermediate,I am not at all familiar with PyMC.,I am not at all familiar with this library.,I want to learn much from experienced scientists and also learn about PyMC library,,English,No,1,1,1,Attended
London UK,Europe,United Kingdom,GBP,826,51.5073219,-0.1276474,7/9/2022 9:15:44,London,England,UK,Woman,she/her,1.0,1.0,0.0,0.0,0.0,2,0.0,1,Data Scientist,"Yes, I identify as an under-represented person.","Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",Meetup,No,No experience,No,"comfortable cloning a repository, used Git, but am not comfortable",Python,Advanced,I am not at all familiar with PyMC.,I have never looked at the source code.,use pymc at work for our BayesMMM,No,"Spanish, Catalan, English",No,1,1,1,Attended
Mundra India,Asia,India,INR,356,22.8373674,69.725409,7/15/2022 14:52:00,Mundra,Gujarat,India,Man,he/him,0.0,0.0,0.0,0.0,0.0,0,0.0,0,Student,I prefer not to answer this question.,"Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",Meetup,No,Intermediate,No,"comfortable submitting a PR, comfortable cloning a repository",Python,Intermediate,I am not at all familiar with PyMC.,I am not at all familiar with this library.,To contribute to this vast world of Open Source and gain knowledge in the field of data.,,"Hindi, English",No,1,1,0,Did Not Attend
Vijayawada India,Asia,India,INR,356,16.5087586,80.6185102,7/16/2022 16:49:28,Vijayawada,Andhra Pradesh,India,Woman,she/her,0.0,0.0,0.0,0.0,0.0,0,0.0,0,Student,I prefer not to answer this question.,"Working session #2: July 22, 2022 (Friday), Post-sprint office hours:  August 18, 2022 (Thursday)",Meetup,Yes,Beginner,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Advanced,I am not at all familiar with PyMC.,I have never looked at the source code.,I recently started learning about Open Source through MLH. I want to learn and explore more and I feel that this could a great opportunity for me to learn. ,Yes,English,No,1,1,0,Did Not Attend
Dallas USA,North America,United States,USD,840,32.7762719,-96.7968559,7/19/2022 11:33:23,Dallas,Texas,USA,Man,he/him,0.0,0.0,0.0,0.0,0.0,0,0.0,0,Looking for Data Science jobs,"No, I do not identify as an under-represented person.","Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)","a friend, colleague, etc.  (word of mouth)",No,Beginner,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I am not at all familiar with PyMC.,I am not at all familiar with this library.,Want to contribute to something meaningful with my time while I am searching for employment,Yes,English,No,1,1,0,Did Not Attend
